               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.040702,            0.014498,            0.025156,             0.45144,                   1,             0.57789,             0.30745,            0.022605,           0.0040019,             0.01734,            0.006106,            0.006106,            0.006106
                  61,            0.036989,            0.013808,            0.025633,             0.49051,                   1,             0.60325,             0.34187,            0.023969,           0.0038657,            0.017413,             0.00604,             0.00604,             0.00604
                  62,            0.041088,            0.012332,            0.025289,             0.49393,                   1,             0.57649,             0.32493,            0.020607,           0.0040438,            0.017407,            0.005974,            0.005974,            0.005974
                  63,            0.037388,            0.014383,            0.027009,             0.49391,                   1,             0.62094,             0.35846,            0.020607,           0.0039801,            0.017371,            0.005908,            0.005908,            0.005908
                  64,            0.031226,            0.012339,            0.022635,             0.50146,                   1,             0.64844,             0.38565,            0.019331,           0.0042388,            0.017377,            0.005842,            0.005842,            0.005842
                  65,            0.036617,            0.013821,            0.024178,             0.50494,                   1,             0.68945,             0.37014,            0.025113,           0.0040978,            0.017603,            0.005776,            0.005776,            0.005776
                  66,            0.040523,             0.01436,            0.025346,             0.51221,                   1,             0.68987,             0.40618,            0.018658,           0.0040784,            0.017444,             0.00571,             0.00571,             0.00571
                  67,            0.040422,            0.012413,            0.024904,             0.50823,                   1,             0.65098,             0.39154,            0.021296,           0.0039978,            0.017395,            0.005644,            0.005644,            0.005644
                  68,            0.034189,            0.014035,            0.026114,             0.51646,                   1,             0.67919,             0.39575,            0.021757,           0.0040825,            0.017407,            0.005578,            0.005578,            0.005578
                  69,            0.032868,            0.011883,            0.025627,             0.49653,                   1,             0.67919,             0.40062,            0.021675,           0.0040462,            0.017297,            0.005512,            0.005512,            0.005512
                  70,            0.028802,             0.01051,            0.023308,             0.53738,                   1,             0.67919,              0.4242,            0.021419,           0.0037166,            0.017169,            0.005446,            0.005446,            0.005446
